CUT_REG,CUT_PROV,CUT_COM,REGION,PROVINCIA,COMUNA,Codcom,INFO,AÑO,labor,negocios,sociocult,conect,saludma,vivienda,ICVU,ranking
10,101,10101,Los Lagos,Llanquihue,Puerto Montt,10101,SI,2019,61.14,42.8,61.57,62.13,63.21,45.36,56.52,26
10,101,10102,Los Lagos,Llanquihue,Calbuco,10102,NO,2019,0,0,0,0,0,0,0,0
10,101,10103,Los Lagos,Llanquihue,Cochamó,10103,NO,2019,0,0,0,0,0,0,0,0
10,101,10104,Los Lagos,Llanquihue,Fresia,10104,NO,2019,0,0,0,0,0,0,0,0
10,101,10105,Los Lagos,Llanquihue,Frutillar,10105,NO,2019,0,0,0,0,0,0,0,0
10,101,10106,Los Lagos,Llanquihue,Los Muermos,10106,NO,2019,0,0,0,0,0,0,0,0
10,101,10107,Los Lagos,Llanquihue,Llanquihue,10107,NO,2019,0,0,0,0,0,0,0,0
10,101,10108,Los Lagos,Llanquihue,Maullín,10108,NO,2019,0,0,0,0,0,0,0,0
10,101,10109,Los Lagos,Llanquihue,Puerto Varas,10109,SI,2019,64.29,62.07,58.41,50.89,76.85,40.74,58.18,18
10,102,10201,Los Lagos,Chiloé,Castro,10201,SI,2019,44.8,22.79,49.33,58.09,72.35,36.16,48.76,67
10,102,10202,Los Lagos,Chiloé,Ancud,10202,NO,2019,0,0,0,0,0,0,0,0
10,102,10203,Los Lagos,Chiloé,Chonchi,10203,NO,2019,0,0,0,0,0,0,0,0
10,102,10204,Los Lagos,Chiloé,Curaco de Vélez,10204,NO,2019,0,0,0,0,0,0,0,0
10,102,10205,Los Lagos,Chiloé,Dalcahue,10205,NO,2019,0,0,0,0,0,0,0,0
10,102,10206,Los Lagos,Chiloé,Puqueldón,10206,NO,2019,0,0,0,0,0,0,0,0
10,102,10207,Los Lagos,Chiloé,Queilén,10207,NO,2019,0,0,0,0,0,0,0,0
10,102,10208,Los Lagos,Chiloé,Quellón,10208,NO,2019,0,0,0,0,0,0,0,0
10,102,10209,Los Lagos,Chiloé,Quemchi,10209,NO,2019,0,0,0,0,0,0,0,0
10,102,10210,Los Lagos,Chiloé,Quinchao,10210,NO,2019,0,0,0,0,0,0,0,0
10,103,10301,Los Lagos,Osorno,Osorno,10301,SI,2019,55.89,46.31,59.39,58.12,66.02,46.4,55.67,34
10,103,10302,Los Lagos,Osorno,Puerto Octay,10302,NO,2019,0,0,0,0,0,0,0,0
10,103,10303,Los Lagos,Osorno,Purranque,10303,NO,2019,0,0,0,0,0,0,0,0
10,103,10304,Los Lagos,Osorno,Puyehue,10304,NO,2019,0,0,0,0,0,0,0,0
10,103,10305,Los Lagos,Osorno,Río Negro,10305,NO,2019,0,0,0,0,0,0,0,0
10,103,10306,Los Lagos,Osorno,San Juan de la Costa,10306,NO,2019,0,0,0,0,0,0,0,0
10,103,10307,Los Lagos,Osorno,San Pablo,10307,NO,2019,0,0,0,0,0,0,0,0
10,104,10401,Los Lagos,Palena,Chaitén,10401,NO,2019,0,0,0,0,0,0,0,0
10,104,10402,Los Lagos,Palena,Futaleufú,10402,NO,2019,0,0,0,0,0,0,0,0
10,104,10403,Los Lagos,Palena,Hualaihué,10403,NO,2019,0,0,0,0,0,0,0,0
10,104,10404,Los Lagos,Palena,Palena,10404,NO,2019,0,0,0,0,0,0,0,0
11,111,11101,Aysén del General Carlos Ibáñez del Campo,Coihaique,Coihaique,11101,SI,2019,64.5,34.12,48.39,65.52,58.85,40.03,52.98,48
11,111,11102,Aysén del General Carlos Ibáñez del Campo,Coihaique,Lago Verde,11102,NO,2019,0,0,0,0,0,0,0,0
11,112,11201,Aysén del General Carlos Ibáñez del Campo,Aisén,Aisén,11201,NO,2019,0,0,0,0,0,0,0,0
11,112,11202,Aysén del General Carlos Ibáñez del Campo,Aisén,Cisnes,11202,NO,2019,0,0,0,0,0,0,0,0
11,112,11203,Aysén del General Carlos Ibáñez del Campo,Aisén,Guaitecas,11203,NO,2019,0,0,0,0,0,0,0,0
11,113,11301,Aysén del General Carlos Ibáñez del Campo,Capitán Prat,Cochrane,11301,NO,2019,0,0,0,0,0,0,0,0
11,113,11302,Aysén del General Carlos Ibáñez del Campo,Capitán Prat,O'Higgins,11302,NO,2019,0,0,0,0,0,0,0,0
11,113,11303,Aysén del General Carlos Ibáñez del Campo,Capitán Prat,Tortel,11303,NO,2019,0,0,0,0,0,0,0,0
11,114,11401,Aysén del General Carlos Ibáñez del Campo,General Carrera,Chile Chico,11401,NO,2019,0,0,0,0,0,0,0,0
11,114,11402,Aysén del General Carlos Ibáñez del Campo,General Carrera,Río Ibáñez,11402,NO,2019,0,0,0,0,0,0,0,0
12,121,12101,Magallanes y de la Antártica Chilena,Magallanes,Punta Arenas,12101,SI,2019,79.35,37.71,72.33,61.18,62.99,52.78,61.79,9
12,121,12102,Magallanes y de la Antártica Chilena,Magallanes,Laguna Blanca,12102,NO,2019,0,0,0,0,0,0,0,0
12,121,12104,Magallanes y de la Antártica Chilena,Magallanes,San Gregorio,12104,NO,2019,0,0,0,0,0,0,0,0
12,122,12201,Magallanes y de la Antártica Chilena,Antártica Chilena,Cabo de Hornos,12201,NO,2019,0,0,0,0,0,0,0,0
12,123,12301,Magallanes y de la Antártica Chilena,Tierra del Fuego,Porvenir,12301,NO,2019,0,0,0,0,0,0,0,0
12,123,12302,Magallanes y de la Antártica Chilena,Tierra del Fuego,Primavera,12302,NO,2019,0,0,0,0,0,0,0,0
12,123,12303,Magallanes y de la Antártica Chilena,Tierra del Fuego,Timaukel,12303,NO,2019,0,0,0,0,0,0,0,0
12,124,12401,Magallanes y de la Antártica Chilena,Última Esperanza,Natales,12401,NO,2019,0,0,0,0,0,0,0,0
12,124,12402,Magallanes y de la Antártica Chilena,Última Esperanza,Torres del Paine,12402,NO,2019,0,0,0,0,0,0,0,0
13,131,13115,Metropolitana de Santiago,Santiago,Lo Barnechea,13115,SI,2019,72.47,67.63,35.21,83.81,59.23,86.46,69.09,4
13,132,13202,Metropolitana de Santiago,Cordillera,Pirque,13202,NO,2019,0,0,0,0,0,0,0,0
13,132,13203,Metropolitana de Santiago,Cordillera,San José de Maipo,13203,NO,2019,0,0,0,0,0,0,0,0
13,134,13404,Metropolitana de Santiago,Maipo,Paine,13404,SI,2019,73.02,47.8,39.67,36.72,54.37,34.28,47.19,79
13,135,13501,Metropolitana de Santiago,Melipilla,Melipilla,13501,SI,2019,56.63,18.64,53.16,45.58,71.11,31.82,47.31,78
13,135,13502,Metropolitana de Santiago,Melipilla,Alhué,13502,NO,2019,0,0,0,0,0,0,0,0
13,135,13503,Metropolitana de Santiago,Melipilla,Curacaví,13503,NO,2019,0,0,0,0,0,0,0,0
13,135,13504,Metropolitana de Santiago,Melipilla,María Pinto,13504,NO,2019,0,0,0,0,0,0,0,0
13,135,13505,Metropolitana de Santiago,Melipilla,San Pedro,13505,NO,2019,0,0,0,0,0,0,0,0
13,136,13603,Metropolitana de Santiago,Talagante,Isla de Maipo,13603,NO,2019,0,0,0,0,0,0,0,0
14,141,14101,Los Ríos,Valdivia,Valdivia,14101,SI,2019,66.36,42.27,68.15,69.87,56.69,51.15,59.75,14
14,141,14102,Los Ríos,Valdivia,Corral,14102,NO,2019,0,0,0,0,0,0,0,0
14,141,14103,Los Ríos,Valdivia,Lanco,14103,NO,2019,0,0,0,0,0,0,0,0
14,141,14104,Los Ríos,Valdivia,Los Lagos,14104,NO,2019,0,0,0,0,0,0,0,0
14,141,14105,Los Ríos,Valdivia,Máfil,14105,NO,2019,0,0,0,0,0,0,0,0
14,141,14106,Los Ríos,Valdivia,Mariquina,14106,NO,2019,0,0,0,0,0,0,0,0
14,141,14107,Los Ríos,Valdivia,Paillaco,14107,NO,2019,0,0,0,0,0,0,0,0
14,141,14108,Los Ríos,Valdivia,Panguipulli,14108,NO,2019,0,0,0,0,0,0,0,0
14,142,14201,Los Ríos,Ranco,La Unión,14201,NO,2019,0,0,0,0,0,0,0,0
14,142,14202,Los Ríos,Ranco,Futrono,14202,NO,2019,0,0,0,0,0,0,0,0
14,142,14203,Los Ríos,Ranco,Lago Ranco,14203,NO,2019,0,0,0,0,0,0,0,0
14,142,14204,Los Ríos,Ranco,Río Bueno,14204,NO,2019,0,0,0,0,0,0,0,0
15,151,15101,Arica y Parinacota,Arica,Arica,15101,SI,2019,62.64,38.01,54.82,61.24,57.25,31.11,51.16,59
15,151,15102,Arica y Parinacota,Arica,Camarones,15102,NO,2019,0,0,0,0,0,0,0,0
15,152,15201,Arica y Parinacota,Parinacota,Putre,15201,NO,2019,0,0,0,0,0,0,0,0
15,152,15202,Arica y Parinacota,Parinacota,General Lagos,15202,NO,2019,0,0,0,0,0,0,0,0
16,161,16101,Ñuble,Diguillín,Chillán,16101,SI,2019,59.53,29.13,44.41,60.44,58.13,39.86,49.85,65
16,161,16102,Ñuble,Diguillín,Bulnes,16102,NO,2019,0,0,0,0,0,0,0,0
16,161,16104,Ñuble,Diguillín,El Carmen,16104,NO,2019,0,0,0,0,0,0,0,0
16,161,16105,Ñuble,Diguillín,Pemuco,16105,NO,2019,0,0,0,0,0,0,0,0
16,161,16106,Ñuble,Diguillín,Pinto,16106,NO,2019,0,0,0,0,0,0,0,0
16,161,16107,Ñuble,Diguillín,Quillón,16107,NO,2019,0,0,0,0,0,0,0,0
16,161,16108,Ñuble,Diguillín,San Ignacio,16108,NO,2019,0,0,0,0,0,0,0,0
16,161,16109,Ñuble,Diguillín,Yungay,16109,NO,2019,0,0,0,0,0,0,0,0
16,162,16201,Ñuble,Itata,Quirihue,16201,NO,2019,0,0,0,0,0,0,0,0
16,162,16202,Ñuble,Itata,Cobquecura,16202,NO,2019,0,0,0,0,0,0,0,0
16,162,16203,Ñuble,Itata,Coelemu,16203,NO,2019,0,0,0,0,0,0,0,0
16,162,16204,Ñuble,Itata,Ninhue,16204,NO,2019,0,0,0,0,0,0,0,0
16,162,16205,Ñuble,Itata,Portezuelo,16205,NO,2019,0,0,0,0,0,0,0,0
16,162,16206,Ñuble,Itata,Ranquil,16206,NO,2019,0,0,0,0,0,0,0,0
16,162,16207,Ñuble,Itata,Treguaco,16207,NO,2019,0,0,0,0,0,0,0,0
16,163,16301,Ñuble,Punilla,San Carlos,16301,SI,2019,56.16,19.04,46.38,39.41,59,31.78,42.91,91
16,163,16302,Ñuble,Punilla,Coihueco,16302,NO,2019,0,0,0,0,0,0,0,0
16,163,16303,Ñuble,Punilla,Ñiquén,16303,NO,2019,0,0,0,0,0,0,0,0
16,163,16304,Ñuble,Punilla,San Fabián,16304,NO,2019,0,0,0,0,0,0,0,0
16,163,16305,Ñuble,Punilla,San Nicolás,16305,NO,2019,0,0,0,0,0,0,0,0
13,133,13303,Metropolitana de Santiago,Chacabuco,Tiltil,13303,NO,2019,0,0,0,0,0,0,0,0
13,133,13301,Metropolitana de Santiago,Chacabuco,Colina,13301,SI,2019,66.64,66.37,27.98,50.55,63.01,48.94,53.72,46
13,133,13302,Metropolitana de Santiago,Chacabuco,Lampa,13302,SI,2019,67.71,50.62,44.29,47.33,60.1,38.53,51.23,58
13,131,13125,Metropolitana de Santiago,Santiago,Quilicura,13125,SI,2019,83.83,37.37,28.85,79.59,59.34,36.56,55.86,31
